artifact,status,size_bytes,source_path
ws3-successful-swing-a-state-relationship.csv,FOUND,2187,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-a-state-relationship.csv
ws3-successful-swing-concentration-outlier-audit.json,FOUND,3150,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-concentration-outlier-audit.json
ws3-successful-swing-distinct-episode-panel.csv,FOUND,28467681,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-distinct-episode-panel.csv
ws3-successful-swing-feature-manifest.json,FOUND,3102,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-feature-manifest.json
ws3-successful-swing-lead-time-analysis.csv,FOUND,378,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-lead-time-analysis.csv
ws3-successful-swing-lookahead-hindsight-audit.json,FOUND,924,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-lookahead-hindsight-audit.json
ws3-successful-swing-market-temporal-stability.csv,FOUND,1924,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-market-temporal-stability.csv
ws3-successful-swing-matched-control-panel.csv,FOUND,33548879,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-matched-control-panel.csv
ws3-successful-swing-next-research-readiness.json,FOUND,913,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-next-research-readiness.json
ws3-successful-swing-outcome-protocol-freeze.json,FOUND,3706,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-outcome-protocol-freeze.json
ws3-successful-swing-outcome-strata-summary.csv,FOUND,9285,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-outcome-strata-summary.csv
ws3-successful-swing-outcome-strength-gradient.csv,FOUND,47371,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-outcome-strength-gradient.csv
ws3-successful-swing-pre-event-feature-panel.csv,FOUND,527286834,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-pre-event-feature-panel.csv
ws3-successful-swing-raw-anchor-panel.csv,FOUND,231402178,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-raw-anchor-panel.csv
ws3-successful-swing-reference-case-cards.json,FOUND,215103,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-reference-case-cards.json
ws3-successful-swing-reproducibility-manifest.json,FOUND,2644,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-reproducibility-manifest.json
ws3-successful-swing-run-summary.json,FOUND,17732,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/ws3-successful-swing-run-summary.json
formal-closure-report.md,FOUND,1278,C:/Users/acer/Documents/Codex/ws3-owner-review-pack-20260821/docs/reports/TASK-WS3-SUCCESSFUL-SWING-OUTCOME-MINING-AND-LEADING-EVIDENCE-DISCOVERY-20260821/formal-closure-report.md
